student_id,Name,batch_id,teacher_name,date,course,course_demand,predicted_performance,timestamp,attendance_status,gpa,attendance_rate,hours_studied_per_week,previous_failures,attendance_percentage,quizzes_completed,assignments_completed,lms_engagement_score,dropout_risk,month
S556,Fatima,B001,Taha,1/1/2024,Business Analytics,High,Above Average,22:32.9,Absent,0.72,0.54,1.51,3,54,37,6,35.06,Low,January
S3492,Noor,B001,Taha,1/2/2024,Business Analytics,Medium,Excellent,10:14.2,Absent,3.14,0.81,8.71,1,81,43,16,72.84,Medium,January
S528,Zara,B001,Taha,1/3/2024,Business Analytics,High,Above Average,23:51.3,Present,0.74,0.59,1.17,4,59,37,6,36.8,Low,January
S3926,Zara,B001,Taha,1/4/2024,Business Analytics,Low,Below Average,01:00.4,Present,3.27,0.9,9.23,0,90,49,13,66.04,High,January
S2990,Mehwish,B001,Taha,1/5/2024,Business Analytics,Medium,Average,03:22.3,Late,3.83,0.94,11.81,0,94,47,18,89.81,Medium,January
S071,Bilal,B001,Taha,1/6/2024,Business Analytics,Medium,Average,15:08.4,Present,0.54,0.46,1.85,2,46,32,9,27.67,Low,January
S1757,Ahmed,B001,Taha,1/7/2024,Business Analytics,High,Excellent,18:46.6,Present,2.64,0.68,5.74,1,68,37,11,54.49,Low,January
S212,Fatima,B001,Taha,1/8/2024,Business Analytics,Medium,Average,16:55.5,Present,1.82,0.47,2.13,3,47,35,8,20.92,Medium,January
S197,Bilal,B001,Taha,1/9/2024,Business Analytics,Medium,Above Average,22:09.3,Late,1.88,0.48,2.26,3,48,32,6,33.99,Medium,January
S804,Laiba,B001,Taha,1/10/2024,Business Analytics,High,Excellent,17:45.2,Late,1.81,0.56,3.64,2,56,35,9,35.9,Low,January
S3410,Iqra,B001,Taha,1/11/2024,Business Analytics,Medium,Below Average,23:03.7,Present,3.04,0.84,9.67,0,84,44,12,67.25,Medium,January
S3837,Laiba,B001,Taha,1/12/2024,Business Analytics,Medium,Average,09:18.4,Present,2.82,0.84,8.04,1,84,47,15,68.06,High,January
S1147,Usman,B001,Taha,1/13/2024,Business Analytics,High,Average,00:57.4,Present,1.84,0.59,2.99,2,59,38,7,20.89,Medium,January
S1499,Noor,B001,Taha,1/14/2024,Business Analytics,Low,Above Average,15:21.4,Present,2.08,0.73,4.66,1,73,44,11,41.34,Low,January
S3859,Hassan,B001,Taha,1/15/2024,Business Analytics,Low,Average,12:50.1,Present,3.0,0.83,7.66,0,83,43,16,63.77,High,January
S3483,Imran,B001,Taha,1/16/2024,Business Analytics,Medium,Average,09:07.1,Present,3.12,0.77,9.28,0,77,44,15,68.83,Medium,January
S1186,Laiba,B001,Taha,1/17/2024,Business Analytics,High,Excellent,04:32.9,Present,0.89,0.6,3.25,2,60,30,9,37.45,Low,January
S472,Hamza,B001,Taha,1/18/2024,Business Analytics,High,Excellent,21:21.2,Late,0.87,0.41,3.88,4,41,30,6,26.24,Medium,January
S595,Saad,B001,Taha,1/19/2024,Business Analytics,Medium,Average,15:05.2,Present,0.65,0.47,3.2,4,47,35,8,27.91,Medium,January
S322,Danish,B001,Taha,1/20/2024,Business Analytics,Medium,Excellent,23:42.5,Present,1.07,0.47,2.86,4,47,36,7,25.3,Low,January
S1418,Danish,B001,Taha,1/21/2024,Business Analytics,High,Above Average,00:29.6,Present,2.69,0.63,5.98,2,63,39,10,58.82,High,January
S1675,Fatima,B001,Taha,1/22/2024,Business Analytics,Low,Excellent,03:14.3,Late,2.2,0.71,6.14,1,71,38,12,51.39,High,January
S3591,Imran,B001,Taha,1/23/2024,Business Analytics,Medium,Average,23:00.1,Present,3.46,0.83,7.74,1,83,40,16,63.9,Medium,January
S1704,Taha,B001,Taha,1/24/2024,Business Analytics,Low,Excellent,17:17.5,Present,2.09,0.62,4.97,2,62,39,14,58.68,High,January
S2541,Aleena,B001,Taha,1/25/2024,Business Analytics,Low,Above Average,09:12.3,Present,3.73,0.95,15.71,0,95,47,17,89.66,Medium,January
S206,Taha,B001,Taha,1/26/2024,Business Analytics,Medium,Average,09:45.3,Present,1.25,0.52,2.3,2,52,32,5,35.47,Medium,January
S3888,Imran,B001,Taha,1/27/2024,Business Analytics,Low,Below Average,04:39.6,Absent,3.43,0.86,7.94,0,86,44,12,79.26,Medium,January
S3249,Hassan,B001,Taha,1/28/2024,Business Analytics,Medium,Excellent,13:31.4,Present,3.47,0.86,8.36,0,86,42,13,62.49,Medium,January
S2132,Noor,B001,Taha,1/29/2024,Business Analytics,Low,Average,12:36.5,Present,3.73,0.96,14.73,0,96,48,19,88.79,Medium,January
S1256,Fatima,B001,Taha,1/30/2024,Business Analytics,High,Excellent,19:07.3,Present,2.03,0.66,5.44,1,66,44,14,41.05,Low,January
S2300,Hamza,B002,Areeba,1/31/2024,Web Development,Low,Average,07:59.2,Present,3.98,0.93,14.92,0,93,50,20,89.82,High,January
S1227,Bilal,B002,Areeba,2/1/2024,Web Development,High,Below Average,00:58.3,Absent,2.68,0.73,4.98,2,73,37,13,44.24,Low,February
S3919,Noor,B002,Areeba,2/2/2024,Web Development,Medium,Excellent,23:47.2,Present,3.42,0.89,6.76,1,89,46,14,77.65,High,February
S2465,Hassan,B002,Areeba,2/3/2024,Web Development,Low,Average,06:56.2,Present,3.65,0.93,17.67,0,93,48,16,97.91,Medium,February
S2384,Mehwish,B002,Areeba,2/4/2024,Web Development,Low,Below Average,06:39.4,Late,3.91,0.96,17.2,0,96,50,20,83.62,High,February
S150,Danish,B002,Areeba,2/5/2024,Web Development,Medium,Above Average,10:01.4,Present,0.62,0.48,2.66,4,48,32,5,34.6,Medium,February
S870,Taha,B002,Areeba,2/6/2024,Web Development,High,Average,19:16.5,Late,1.82,0.44,1.21,2,44,31,7,31.23,Low,February
S1979,Ayaan,B002,Areeba,2/7/2024,Web Development,Medium,Above Average,06:11.4,Late,3.8,0.92,14.3,0,92,50,20,92.05,High,February
S2457,Danish,B002,Areeba,2/8/2024,Web Development,Medium,Below Average,16:18.2,Present,3.72,0.92,17.75,0,92,49,18,98.37,Medium,February
S3866,Mariam,B002,Areeba,2/9/2024,Web Development,Low,Average,06:36.2,Present,3.09,0.88,9.5,0,88,41,15,63.6,High,February
S2213,Mehwish,B002,Areeba,2/10/2024,Web Development,Low,Below Average,21:52.2,Late,3.96,0.96,10.29,0,96,50,15,93.93,Medium,February
S1007,Laiba,B002,Areeba,2/11/2024,Web Development,Medium,Excellent,17:21.5,Present,1.14,0.59,3.3,4,59,34,7,21.38,Medium,February
S3048,Hassan,B002,Areeba,2/12/2024,Web Development,Low,Below Average,05:42.3,Present,3.92,0.95,17.38,0,95,50,17,80.25,Medium,February
S706,Imran,B002,Areeba,2/13/2024,Web Development,Medium,Excellent,02:24.4,Present,0.53,0.5,1.45,3,50,35,5,22.91,Low,February
S3144,Hassan,B002,Areeba,2/14/2024,Web Development,Medium,Above Average,19:14.4,Present,3.57,0.9,16.54,0,90,47,20,92.16,Medium,February
S3597,Saad,B002,Areeba,2/15/2024,Web Development,Medium,Below Average,21:41.3,Present,3.01,0.79,9.58,0,79,42,16,77.61,Medium,February
S1988,Bilal,B002,Areeba,2/16/2024,Web Development,Low,Average,21:54.4,Present,3.95,0.96,19.09,0,96,50,18,85.86,High,February
S180,Mehwish,B002,Areeba,2/17/2024,Web Development,High,Excellent,10:04.2,Late,1.54,0.54,1.42,4,54,36,10,29.79,Medium,February
S110,Mariam,B002,Areeba,2/18/2024,Web Development,Medium,Excellent,05:09.5,Present,1.9,0.45,2.18,3,45,36,8,29.36,Low,February
S3079,Laiba,B002,Areeba,2/19/2024,Web Development,Low,Average,11:35.4,Late,3.71,0.97,10.66,0,97,45,17,92.04,High,February
S1056,Fatima,B002,Areeba,2/20/2024,Web Development,Medium,Excellent,16:22.2,Present,1.98,0.48,3.47,2,48,31,10,31.14,Low,February
S3953,Saad,B002,Areeba,2/21/2024,Web Development,Low,Average,15:37.1,Present,2.91,0.83,6.74,1,83,46,13,78.24,Medium,February
S315,Imran,B002,Areeba,2/22/2024,Web Development,High,Above Average,01:23.5,Late,0.72,0.41,2.39,4,41,30,6,28.69,Low,February
S1823,Hira,B002,Areeba,2/23/2024,Web Development,Low,Above Average,04:46.1,Present,3.99,0.99,16.06,0,99,46,19,81.99,Medium,February
S568,Danish,B002,Areeba,2/24/2024,Web Development,High,Excellent,10:01.4,Present,1.69,0.41,2.77,2,41,33,9,30.84,Medium,February
S880,Hira,B002,Areeba,2/25/2024,Web Development,Medium,Above Average,09:02.6,Present,1.37,0.48,1.39,2,48,39,10,33.99,Medium,February
S2231,Hassan,B002,Areeba,2/26/2024,Web Development,Low,Above Average,08:49.4,Late,3.61,0.92,15.65,0,92,48,15,92.35,Medium,February
S1412,Iqra,B002,Areeba,2/27/2024,Web Development,Low,Excellent,08:05.4,Present,2.56,0.7,5.58,1,70,36,12,54.22,High,February
S3225,Hira,B002,Areeba,2/28/2024,Web Development,Medium,Below Average,12:50.4,Present,2.88,0.86,7.01,1,86,50,12,72.99,High,February
