student_id,Name,batch_id,teacher_name,month,attendance_status,attendance_rate,hours_studied_per_week,previous_failures,attendance_percentage,quizzes_completed,assignments_completed,lms_engagement_score,dropout_risk,course_demand,gpa,predicted_performance,timestamp,course
S1001,Furqan Malik,B001,Taha,January,Absent,0.54,1.51,3,54,37,6,35.06,Low,High,0.72,Above Average,22:32.9,Business Analytics
S1002,Farhan Sheikh,B001,Taha,January,Absent,0.81,8.71,1,81,43,16,72.84,Medium,Medium,3.14,Excellent,10:14.2,Business Analytics
S1003,Shazia Malik,B001,Taha,January,Present,0.59,1.17,4,59,37,6,36.8,Low,High,0.74,Above Average,23:51.3,Business Analytics
S1004,Hassan Raza,B001,Taha,January,Present,0.9,9.23,0,90,49,13,66.04,High,Low,3.27,Below Average,01:00.4,Business Analytics
S1005,Anum Shahid,B001,Taha,January,Late,0.94,11.81,0,94,47,18,89.81,Medium,Medium,3.83,Average,03:22.3,Business Analytics
S1006,Sara Malik,B001,Taha,January,Present,0.46,1.85,2,46,32,9,27.67,Low,Medium,0.54,Average,15:08.4,Business Analytics
S1007,Huma Yousaf,B001,Taha,January,Present,0.68,5.74,1,68,37,11,54.49,Low,High,2.64,Excellent,18:46.6,Business Analytics
S1008,Imran Akhtar,B001,Taha,January,Present,0.47,2.13,3,47,35,8,20.92,Medium,Medium,1.82,Average,16:55.5,Business Analytics
S1009,Lubna Iqbal,B001,Taha,January,Late,0.48,2.26,3,48,32,6,33.99,Medium,Medium,1.88,Above Average,22:09.3,Business Analytics
S1010,Salman Ahmed,B001,Taha,January,Late,0.56,3.64,2,56,35,9,35.9,Low,High,1.81,Excellent,17:45.2,Business Analytics
S1011,Aqsa Siddiqui,B001,Taha,January,Present,0.84,9.67,0,84,44,12,67.25,Medium,Medium,3.04,Below Average,23:03.7,Business Analytics
S1012,Omar Farooq,B001,Taha,January,Present,0.84,8.04,1,84,47,15,68.06,High,Medium,2.82,Average,09:18.4,Business Analytics
S1013,Nouman Haider,B001,Taha,January,Present,0.59,2.99,2,59,38,7,20.89,Medium,High,1.84,Average,00:57.4,Business Analytics
S1014,Mariam Javed,B001,Taha,January,Present,0.73,4.66,1,73,44,11,41.34,Low,Low,2.08,Above Average,15:21.4,Business Analytics
S1015,Waleed Arif,B001,Taha,January,Present,0.83,7.66,0,83,43,16,63.77,High,Low,3,Average,12:50.1,Business Analytics
S1016,Beenish Khalid,B001,Taha,January,Present,0.77,9.28,0,77,44,15,68.83,Medium,Medium,3.12,Average,09:07.1,Business Analytics
S1017,Shahbaz Khan,B001,Taha,January,Present,0.6,3.25,2,60,30,9,37.45,Low,High,0.89,Excellent,04:32.9,Business Analytics
S1018,Rafia Noor,B001,Taha,January,Late,0.41,3.88,4,41,30,6,26.24,Medium,High,0.87,Excellent,21:21.2,Business Analytics
S1019,Amna Khan,B001,Taha,January,Present,0.47,3.2,4,47,35,8,27.91,Medium,Medium,0.65,Average,15:05.2,Business Analytics
S1020,Shahbaz Hussain,B001,Taha,January,Present,0.47,2.86,4,47,36,7,25.3,Low,Medium,1.07,Excellent,23:42.5,Business Analytics
S1021,Nadia Saleem,B001,Taha,January,Present,0.63,5.98,2,63,39,10,58.82,High,High,2.69,Above Average,00:29.6,Business Analytics
S1022,Taimoor Khalid,B001,Taha,January,Late,0.71,6.14,1,71,38,12,51.39,High,Low,2.2,Excellent,03:14.3,Business Analytics
S1023,Mahnoor Anwar,B001,Taha,January,Present,0.83,7.74,1,83,40,16,63.9,Medium,Medium,3.46,Average,23:00.1,Business Analytics
S1024,Zainab Tariq,B001,Taha,January,Present,0.62,4.97,2,62,39,14,58.68,High,Low,2.09,Excellent,17:17.5,Business Analytics
S1025,Nadia Shah,B001,Taha,January,Present,0.95,15.71,0,95,47,17,89.66,Medium,Low,3.73,Above Average,09:12.3,Business Analytics
S1026,Sehrish Khan,B001,Taha,January,Present,0.52,2.3,2,52,32,5,35.47,Medium,Medium,1.25,Average,09:45.3,Business Analytics
S1027,Fatima Noor,B001,Taha,January,Absent,0.86,7.94,0,86,44,12,79.26,Medium,Low,3.43,Below Average,04:39.6,Business Analytics
S1028,Hira Khan,B001,Taha,January,Present,0.86,8.36,0,86,42,13,62.49,Medium,Medium,3.47,Excellent,13:31.4,Business Analytics
S1029,Sana Qureshi,B001,Taha,January,Present,0.96,14.73,0,96,48,19,88.79,Medium,Low,3.73,Average,12:36.5,Business Analytics
S1030,Junaid Khan,B001,Taha,January,Present,0.66,5.44,1,66,44,14,41.05,Low,High,2.03,Excellent,19:07.3,Business Analytics
S1001,Furqan Malik,B001,Taha,February,Present,0.93,14.92,0,93,50,20,89.82,High,Low,3.98,Average,07:59.2,Business Analytics
S1002,Farhan Sheikh,B001,Taha,February,Absent,0.73,4.98,2,73,37,13,44.24,Low,High,2.68,Below Average,00:58.3,Business Analytics
S1003,Shazia Malik,B001,Taha,February,Present,0.89,6.76,1,89,46,14,77.65,High,Medium,3.42,Excellent,23:47.2,Business Analytics
S1004,Hassan Raza,B001,Taha,February,Present,0.93,17.67,0,93,48,16,97.91,Medium,Low,3.65,Average,06:56.2,Business Analytics
S1005,Anum Shahid,B001,Taha,February,Late,0.96,17.2,0,96,50,20,83.62,High,Low,3.91,Below Average,06:39.4,Business Analytics
S1006,Sara Malik,B001,Taha,February,Present,0.48,2.66,4,48,32,5,34.6,Medium,Medium,0.62,Above Average,10:01.4,Business Analytics
S1007,Huma Yousaf,B001,Taha,February,Late,0.44,1.21,2,44,31,7,31.23,Low,High,1.82,Average,19:16.5,Business Analytics
S1008,Imran Akhtar,B001,Taha,February,Late,0.92,14.3,0,92,50,20,92.05,High,Medium,3.8,Above Average,06:11.4,Business Analytics
S1009,Lubna Iqbal,B001,Taha,February,Present,0.92,17.75,0,92,49,18,98.37,Medium,Medium,3.72,Below Average,16:18.2,Business Analytics
S1010,Salman Ahmed,B001,Taha,February,Present,0.88,9.5,0,88,41,15,63.6,High,Low,3.09,Average,06:36.2,Business Analytics
S1011,Aqsa Siddiqui,B001,Taha,February,Late,0.96,10.29,0,96,50,15,93.93,Medium,Low,3.96,Below Average,21:52.2,Business Analytics
S1012,Omar Farooq,B001,Taha,February,Present,0.59,3.3,4,59,34,7,21.38,Medium,Medium,1.14,Excellent,17:21.5,Business Analytics
S1013,Nouman Haider,B001,Taha,February,Present,0.95,17.38,0,95,50,17,80.25,Medium,Low,3.92,Below Average,05:42.3,Business Analytics
S1014,Mariam Javed,B001,Taha,February,Present,0.5,1.45,3,50,35,5,22.91,Low,Medium,0.53,Excellent,02:24.4,Business Analytics
S1015,Waleed Arif,B001,Taha,February,Present,0.9,16.54,0,90,47,20,92.16,Medium,Medium,3.57,Above Average,19:14.4,Business Analytics
S1016,Beenish Khalid,B001,Taha,February,Present,0.79,9.58,0,79,42,16,77.61,Medium,Medium,3.01,Below Average,21:41.3,Business Analytics
S1017,Shahbaz Khan,B001,Taha,February,Present,0.96,19.09,0,96,50,18,85.86,High,Low,3.95,Average,21:54.4,Business Analytics
S1018,Rafia Noor,B001,Taha,February,Late,0.54,1.42,4,54,36,10,29.79,Medium,High,1.54,Excellent,10:04.2,Business Analytics
S1019,Amna Khan,B001,Taha,February,Present,0.45,2.18,3,45,36,8,29.36,Low,Medium,1.9,Excellent,05:09.5,Business Analytics
S1020,Shahbaz Hussain,B001,Taha,February,Late,0.97,10.66,0,97,45,17,92.04,High,Low,3.71,Average,11:35.4,Business Analytics
S1021,Nadia Saleem,B001,Taha,February,Present,0.48,3.47,2,48,31,10,31.14,Low,Medium,1.98,Excellent,16:22.2,Business Analytics
S1022,Taimoor Khalid,B001,Taha,February,Present,0.83,6.74,1,83,46,13,78.24,Medium,Low,2.91,Average,15:37.1,Business Analytics
S1023,Mahnoor Anwar,B001,Taha,February,Late,0.41,2.39,4,41,30,6,28.69,Low,High,0.72,Above Average,01:23.5,Business Analytics
S1024,Zainab Tariq,B001,Taha,February,Present,0.99,16.06,0,99,46,19,81.99,Medium,Low,3.99,Above Average,04:46.1,Business Analytics
S1025,Nadia Shah,B001,Taha,February,Present,0.41,2.77,2,41,33,9,30.84,Medium,High,1.69,Excellent,10:01.4,Business Analytics
S1026,Sehrish Khan,B001,Taha,February,Present,0.48,1.39,2,48,39,10,33.99,Medium,Medium,1.37,Above Average,09:02.6,Business Analytics
S1027,Fatima Noor,B001,Taha,February,Late,0.92,15.65,0,92,48,15,92.35,Medium,Low,3.61,Above Average,08:49.4,Business Analytics
S1028,Hira Khan,B001,Taha,February,Present,0.7,5.58,1,70,36,12,54.22,High,Low,2.56,Excellent,08:05.4,Business Analytics
S1029,Sana Qureshi,B001,Taha,February,Present,0.86,7.01,1,86,50,12,72.99,High,Medium,2.88,Below Average,12:50.4,Business Analytics
S1030,Junaid Khan,B001,Taha,February,Present,0.81,9.14,0,81,46,15,70.5,High,Medium,2.94,Excellent,16:03.4,Business Analytics
S1001,Furqan Malik,B001,Taha,March,Present,0.83,9.44,1,83,40,15,64.5,Medium,Medium,3.27,Average,18:56.8,Business Analytics
S1002,Farhan Sheikh,B001,Taha,March,Present,0.45,3.18,4,45,34,6,31.73,Medium,Medium,0.66,Above Average,20:24.6,Business Analytics
S1003,Shazia Malik,B001,Taha,March,Late,0.96,16.16,0,96,48,20,80.32,Medium,Medium,3.68,Above Average,13:49.0,Business Analytics
S1004,Hassan Raza,B001,Taha,March,Present,0.9,6.42,1,90,42,13,66.98,Medium,Medium,3.24,Average,08:28.3,Business Analytics
S1005,Anum Shahid,B001,Taha,March,Absent,0.94,13.04,0,94,46,16,91.94,High,Medium,3.52,Average,08:39.2,Business Analytics
S1006,Sara Malik,B001,Taha,March,Present,0.65,6.24,2,65,42,10,57.49,High,Low,2.75,Below Average,07:01.3,Business Analytics
S1007,Huma Yousaf,B001,Taha,March,Present,0.8,8.79,0,80,43,13,61.8,High,Low,3.09,Average,15:37.1,Business Analytics
S1008,Imran Akhtar,B001,Taha,March,Present,0.53,1.28,2,53,33,8,38.76,Medium,High,0.81,Above Average,03:35.3,Business Analytics
S1009,Lubna Iqbal,B001,Taha,March,Late,0.94,14.18,0,94,50,16,88.74,Medium,Medium,3.98,Above Average,11:12.4,Business Analytics
S1010,Salman Ahmed,B001,Taha,March,Present,0.53,2.28,2,53,30,5,26.47,Medium,Medium,1.86,Average,16:35.3,Business Analytics
S1011,Aqsa Siddiqui,B001,Taha,March,Present,0.65,6.94,1,65,42,10,47.94,High,Low,2.43,Below Average,19:53.4,Business Analytics
S1012,Omar Farooq,B001,Taha,March,Present,0.84,8.44,1,84,47,15,64.95,High,Low,3.2,Average,20:49.8,Business Analytics
S1013,Nouman Haider,B001,Taha,March,Present,0.82,6.26,1,82,46,14,60.43,Medium,Low,3.13,Average,02:04.3,Business Analytics
S1014,Mariam Javed,B001,Taha,March,Present,0.56,3.37,2,56,38,10,21.41,Low,Medium,0.87,Excellent,05:53.6,Business Analytics
S1015,Waleed Arif,B001,Taha,March,Absent,0.43,3.09,3,43,36,9,33.63,Low,Medium,1.48,Above Average,13:13.4,Business Analytics
S1016,Beenish Khalid,B001,Taha,March,Absent,0.98,10.68,0,98,49,16,94.75,High,Low,3.64,Above Average,16:54.2,Business Analytics
S1017,Shahbaz Khan,B001,Taha,March,Late,0.84,9.72,0,84,43,15,69.25,High,Medium,2.98,Average,23:56.2,Business Analytics
S1018,Rafia Noor,B001,Taha,March,Present,0.74,4.99,2,74,39,11,44.24,High,High,2.56,Excellent,21:59.8,Business Analytics
S1019,Amna Khan,B001,Taha,March,Present,0.55,2.55,4,55,39,6,36.08,Low,High,1.18,Excellent,03:54.4,Business Analytics
S1020,Shahbaz Hussain,B001,Taha,March,Present,0.71,4.72,1,71,42,13,48.3,Low,High,2.37,Below Average,18:12.3,Business Analytics
S1021,Nadia Saleem,B001,Taha,March,Late,0.97,12.73,0,97,50,16,93.74,High,Medium,3.63,Below Average,14:25.4,Business Analytics
S1022,Taimoor Khalid,B001,Taha,March,Late,0.57,1.14,3,57,32,9,32.82,Medium,Medium,1.71,Excellent,19:16.5,Business Analytics
S1023,Mahnoor Anwar,B001,Taha,March,Present,0.64,4.2,1,64,43,14,50.64,Low,Low,2.44,Above Average,15:53.5,Business Analytics
S1024,Zainab Tariq,B001,Taha,March,Present,0.47,3.03,4,47,30,9,25.61,Medium,Medium,0.99,Excellent,02:53.4,Business Analytics
S1025,Nadia Shah,B001,Taha,March,Present,0.77,8.71,1,77,49,15,70.45,Medium,Medium,3.07,Excellent,09:18.4,Business Analytics
S1026,Sehrish Khan,B001,Taha,March,Late,0.5,1.83,4,50,35,10,35.24,Medium,Medium,1.97,Excellent,13:59.2,Business Analytics
S1027,Fatima Noor,B001,Taha,March,Late,0.77,6.62,0,77,46,14,78.1,Medium,Medium,3.15,Average,09:06.7,Business Analytics
S1028,Hira Khan,B001,Taha,March,Present,0.91,16.95,0,91,50,19,86.23,High,Medium,3.91,Average,05:42.3,Business Analytics
S1029,Sana Qureshi,B001,Taha,March,Late,0.95,13.39,0,95,45,20,91.09,High,Medium,3.99,Above Average,10:25.4,Business Analytics
S1030,Junaid Khan,B001,Taha,March,Late,0.96,16.78,0,96,47,19,85.01,High,Medium,3.52,Average,11:26.4,Business Analytics
S2001,Noman Yousaf,B002,Ahsan,January,Present,0.72,6.28,1,72,39,10,44.24,High,Low,2.14,Below Average,12:38.6,Data Science
S2002,Nadia Shah,B002,Ahsan,January,Present,0.95,16.66,0,95,48,15,85.31,High,Low,4,Below Average,11:35.5,Data Science
S2003,Hamza Tariq,B002,Ahsan,January,Late,0.76,8.11,1,76,45,16,61.13,Medium,Medium,2.84,Excellent,03:47.7,Data Science
S2004,Zainab Tariq,B002,Ahsan,January,Present,0.54,3.06,2,54,35,9,33.96,Medium,High,0.62,Average,21:12.2,Data Science
S2005,Aliya Shah,B002,Ahsan,January,Present,0.94,10.11,0,94,46,15,83.42,Medium,Medium,3.76,Above Average,22:00.4,Data Science
S2006,Imran Khan,B002,Ahsan,January,Present,0.52,3.68,3,52,30,10,29.86,Low,High,0.92,Above Average,18:58.5,Data Science
S2007,Taimoor Khalid,B002,Ahsan,January,Present,0.61,6.33,2,61,36,12,46.56,High,High,2.14,Above Average,19:57.3,Data Science
S2008,Sana Qureshi,B002,Ahsan,January,Present,0.83,9.53,0,83,46,13,64.63,Medium,Low,3.01,Below Average,09:11.5,Data Science
S2009,Kamran Abbas,B002,Ahsan,January,Present,0.68,4.17,1,68,42,13,44,Low,Low,2.07,Excellent,17:51.3,Data Science
S2010,Shehzad Aslam,B002,Ahsan,January,Present,0.41,1.22,3,41,32,10,24.45,Medium,High,0.69,Above Average,05:20.5,Data Science
S2011,Laiba Aslam,B002,Ahsan,January,Late,0.54,1.42,2,54,31,8,33.74,Medium,Medium,1.82,Average,00:41.1,Data Science
S2012,Anum Shahid,B002,Ahsan,January,Absent,0.95,10.34,0,95,46,16,99.75,High,Low,3.68,Average,12:25.5,Data Science
S2013,Mariam Javed,B002,Ahsan,January,Absent,0.93,19.44,0,93,47,19,90.82,Medium,Low,3.99,Above Average,08:15.4,Data Science
S2014,Iqra Javed,B002,Ahsan,January,Present,0.42,1.75,4,42,36,8,37.34,Low,Medium,1.9,Above Average,05:20.5,Data Science
