student_id,Name,batch_id,teacher_name,month,attendance_status,attendance_rate,hours_studied_per_week,previous_failures,attendance_percentage,quizzes_completed,assignments_completed,lms_engagement_score,dropout_risk,course_demand,gpa,predicted_performance,timestamp,course
S1001,Student_1_1,B001,Taha,January,Absent,0.95,6.35,1,87.8,37,3,55.2,High,High,3.19,Average,22:32.9,Business Analytics
S1002,Student_1_2,B001,Taha,January,Absent,0.88,9.34,3,58.7,43,1,25.68,High,High,2.31,Below Average,10:14.2,Business Analytics
S1003,Student_1_3,B001,Taha,January,Absent,0.51,1.87,3,60.5,37,5,97.85,High,Moderate,2.37,Below Average,23:51.3,Business Analytics
S1004,Student_1_4,B001,Taha,January,Absent,0.42,3.96,2,63.2,49,15,39.52,Medium,Low,2.89,Average,01:00.4,Business Analytics
S1005,Student_1_5,B001,Taha,January,Absent,0.71,9.53,3,93.9,47,10,24.07,High,Moderate,3.76,Excellent,03:22.3,Business Analytics
S1006,Student_1_6,B001,Taha,January,Absent,0.53,1.29,1,53.3,32,8,94.77,High,Moderate,2.84,Average,15:08.4,Business Analytics
S1007,Student_1_7,B001,Taha,January,Absent,0.82,9.04,3,55,37,14,56.41,Low,Moderate,2.41,Below Average,18:46.6,Business Analytics
S1008,Student_1_8,B001,Taha,January,Present,0.82,8.79,3,70,35,5,73.72,Medium,Low,2.67,Average,16:55.5,Business Analytics
S1009,Student_1_9,B001,Taha,January,Absent,0.76,8.88,2,45.7,32,6,76.42,Medium,Low,3.35,Above Average,22:09.3,Business Analytics
S1010,Student_1_10,B001,Taha,January,Present,0.68,6.13,0,57.3,35,14,17.68,High,Low,2.18,Below Average,17:45.2,Business Analytics
S1011,Student_1_11,B001,Taha,January,Absent,0.53,7.06,1,87.2,44,2,58.17,High,Moderate,2.16,Below Average,23:03.7,Business Analytics
S1012,Student_1_12,B001,Taha,January,Present,0.7,5.98,2,71.7,47,7,28.74,Medium,High,3.88,Excellent,09:18.4,Business Analytics
S1013,Student_1_13,B001,Taha,January,Absent,0.82,1.14,2,73.2,38,15,31.15,High,Moderate,3.21,Average,00:57.4,Business Analytics
S1014,Student_1_14,B001,Taha,January,Absent,0.93,1.4,0,63.8,44,2,26.88,Medium,Low,2.89,Average,15:21.4,Business Analytics
S1015,Student_1_15,B001,Taha,January,Absent,0.43,5,2,86.6,43,8,64.48,Medium,High,2.7,Average,12:50.1,Business Analytics
S1016,Student_1_16,B001,Taha,January,Absent,0.67,3.41,0,68.3,44,4,85.94,Medium,High,2.54,Average,09:07.1,Business Analytics
S1017,Student_1_17,B001,Taha,January,Present,0.47,8.18,2,54,30,12,15.15,Low,Moderate,2.83,Average,04:32.9,Business Analytics
S1018,Student_1_18,B001,Taha,January,Present,0.57,3.38,1,85.6,30,13,53.19,High,Moderate,3.03,Average,21:21.2,Business Analytics
S1019,Student_1_19,B001,Taha,January,Absent,0.78,7.12,1,99.8,35,2,77.35,Low,Low,3.77,Excellent,15:05.2,Business Analytics
S1020,Student_1_20,B001,Taha,January,Present,0.66,5.17,1,98.5,36,1,14.89,High,High,2.07,Below Average,23:42.5,Business Analytics
S1021,Student_1_21,B001,Taha,January,Absent,0.61,5.25,0,67.5,39,7,57.29,High,Moderate,3.62,Above Average,00:29.6,Business Analytics
S1022,Student_1_22,B001,Taha,January,Present,0.85,4.18,1,57.6,38,15,87.83,Medium,Moderate,3.85,Excellent,03:14.3,Business Analytics
S1023,Student_1_23,B001,Taha,January,Present,0.54,7.75,0,51.7,40,15,94.78,Low,High,3.68,Above Average,23:00.1,Business Analytics
S1024,Student_1_24,B001,Taha,January,Present,0.9,4.21,0,65.8,39,6,53.54,Low,High,3.5,Above Average,17:17.5,Business Analytics
S1025,Student_1_25,B001,Taha,January,Absent,0.91,4,1,41.5,47,6,61.98,Low,High,2.88,Average,09:12.3,Business Analytics
S1026,Student_1_26,B001,Taha,January,Present,0.4,1.36,1,91.7,32,12,81.87,Medium,High,3.78,Excellent,09:45.3,Business Analytics
S1027,Student_1_27,B001,Taha,January,Present,0.48,3.38,2,47.6,44,4,74.09,Medium,Moderate,3.39,Above Average,04:39.6,Business Analytics
S1028,Student_1_28,B001,Taha,January,Present,0.41,5.48,2,76.8,42,3,17.01,Medium,High,2.97,Average,13:31.4,Business Analytics
S1029,Student_1_29,B001,Taha,January,Present,0.41,1.7,1,99.1,48,11,63.47,Low,Moderate,2.14,Below Average,12:36.5,Business Analytics
S1030,Student_1_30,B001,Taha,January,Present,0.48,2.47,2,99,44,3,35.75,High,Low,3.5,Above Average,19:07.3,Business Analytics
