date,student_id,Name,preferred_course,course_demand,predicted_performance,timestamp,course_id,attendance_status,gpa,attendance_rate,hours_studied_per_week,previous_failures,attendance_percentage,quizzes_completed,assignments_completed,lms_engagement_score,dropout_risk,record_id
10/2/2024,S2771,Hira,Data Science,High,Excellent,06:51.4,C105,Absent,3.82,0.92,10.7,0,92,48,15,93.24,Low,1
10/9/2024,S2560,Iqra,Business Analytics,High,Excellent,18:52.1,C103,Present,3.92,0.96,12.04,0,96,48,20,95.28,Low,2
10/20/2024,S1840,Bilal,Business Analytics,High,Excellent,15:26.2,C103,Present,3.74,0.97,18.23,0,97,46,16,90.6,Low,3
10/1/2024,S2613,Fatima,AI,High,Excellent,06:48.9,C102,Absent,3.66,0.92,11.92,0,92,49,18,85.33,Low,4
10/10/2024,S667,Imran,Data Science,Low,Below Average,17:16.4,C105,Present,1.11,0.43,1.1,2,43,34,7,32.26,High,5
10/16/2024,S1262,Bilal,AI,Medium,Average,19:53.4,C104,Present,2.43,0.65,6.94,1,65,42,10,47.94,Medium,6
10/23/2024,S3368,Zara,Cybersecurity,High,Above Average,04:24.5,C101,Present,3.04,0.86,7.56,1,86,47,15,69.93,Low,7
10/13/2024,S3992,Hassan,Data Science,High,Above Average,23:19.0,C104,Present,3.39,0.79,6.93,0,79,48,15,72.52,Low,8
10/20/2024,S3721,Areeba,Web Development,Medium,Below Average,09:14.3,C101,Late,3.07,0.8,6.3,0,80,42,16,77.19,Medium,9
10/12/2024,S1222,Hamza,Cybersecurity,Low,Excellent,20:44.4,C102,Present,2.6,0.7,4.83,2,70,40,10,43.33,High,10
10/19/2024,S1471,Hassan,AI,Medium,Average,23:55.3,C101,Present,2.75,0.62,6.52,1,62,42,13,50.21,Medium,11
10/17/2024,S1752,Ahmed,Web Development,High,Below Average,08:02.1,C103,Present,2.06,0.63,4.85,1,63,35,13,50.36,High,12
10/6/2024,S2197,Aleena,Data Science,High,Excellent,06:09.3,C105,Present,3.66,0.99,16.4,0,99,48,16,87.13,Low,13
10/3/2024,S2719,Taha,AI,High,Excellent,13:42.4,C101,Present,3.8,0.96,16.82,0,96,47,19,82.12,Low,14
10/18/2024,S2641,Mehwish,Web Development,Medium,Above Average,17:23.2,C104,Late,3.91,0.98,10.49,0,98,45,15,89.35,Medium,15
10/9/2024,S834,Danish,Business Analytics,Low,Below Average,10:01.4,C103,Present,0.96,0.5,1.56,4,50,35,10,27.73,High,16
10/7/2024,S3617,Danish,Cybersecurity,Medium,Average,18:21.2,C104,Present,2.88,0.81,9.29,0,81,44,15,72.9,High,17
10/9/2024,S2282,Mariam,Web Development,High,Excellent,23:53.5,C105,Present,3.77,0.94,11.94,0,94,49,19,94.43,Low,18
10/3/2024,S3378,Areeba,Business Analytics,Medium,Excellent,22:28.6,C104,Present,3.37,0.82,8.59,1,82,40,14,67.06,High,19
10/16/2024,S2477,Mariam,Data Science,Low,Below Average,09:31.3,C101,Late,3.87,0.97,14.73,0,97,50,18,96.77,Medium,20
10/20/2024,S1207,Ahmed,Business Analytics,Medium,Average,07:27.7,C105,Present,2.32,0.73,5.6,2,73,44,12,54.68,Medium,21
10/2/2024,S631,Usman,Cybersecurity,Medium,Average,19:49.4,C103,Present,1.93,0.41,1.37,2,41,40,10,25.67,Medium,22
10/25/2024,S3842,Bilal,Data Science,High,Above Average,21:19.6,C105,Late,3.26,0.79,9.21,0,79,41,13,60.89,Low,23
10/25/2024,S2981,Mariam,Data Science,High,Excellent,17:30.4,C101,Late,3.62,0.92,14.49,0,92,46,19,86.7,Low,24
10/13/2024,S1305,Bilal,Business Analytics,Medium,Average,20:39.3,C105,Present,2.29,0.62,4.67,1,62,45,13,50.9,Medium,25
10/16/2024,S1794,Hassan,Cybersecurity,Medium,Average,23:39.2,C102,Late,2.07,0.73,6.91,2,73,38,11,48.09,Medium,26
10/9/2024,S1276,Taha,Web Development,High,Excellent,22:20.3,C103,Present,2.77,0.71,5.47,2,71,39,13,54.54,Low,27
10/24/2024,S733,Mehwish,Business Analytics,Low,Below Average,07:52.4,C102,Present,1.11,0.45,1.8,4,45,39,8,28.97,High,28
10/4/2024,S2237,Ayaan,Business Analytics,High,Excellent,11:52.2,C105,Present,3.52,0.99,15.27,0,99,45,18,88.33,Low,29
10/22/2024,S2113,Bilal,Business Analytics,High,Excellent,21:54.4,C103,Present,3.67,0.9,17.57,0,90,46,16,87.88,Low,30
10/16/2024,S1138,Mehwish,Business Analytics,Low,Below Average,06:05.2,C103,Present,0.95,0.56,1.94,4,56,38,10,23.8,High,31
10/13/2024,S473,Hamza,AI,Low,Below Average,23:38.6,C103,Present,1.44,0.41,1.84,3,41,34,5,22.14,High,32
10/6/2024,S3500,Mariam,AI,High,Above Average,15:22.2,C104,Present,3.44,0.78,6.46,1,78,42,14,64.23,Low,33
10/15/2024,S2323,Ahmed,Web Development,High,Excellent,05:24.5,C101,Late,3.55,0.91,18.95,0,91,47,18,92.03,Low,34
10/1/2024,S1166,Hassan,AI,Low,Below Average,05:20.5,C103,Present,1.3,0.57,3.62,3,57,37,7,27.25,High,35
10/11/2024,S3485,Aleena,Cybersecurity,High,Above Average,15:30.2,C104,Present,3.32,0.76,7.0,0,76,49,13,70.16,Low,36
10/2/2024,S3553,Mariam,Business Analytics,High,Above Average,16:47.6,C103,Late,3.21,0.8,8.35,0,80,40,13,71.54,Low,37
10/19/2024,S3389,Saad,Cybersecurity,Medium,Average,15:10.2,C105,Present,3.1,0.77,9.71,1,77,44,12,76.14,High,38
10/4/2024,S339,Zara,Business Analytics,Low,Below Average,17:59.1,C104,Present,1.93,0.46,3.82,2,46,38,5,25.37,High,39
10/16/2024,S1153,Danish,AI,Low,Below Average,12:49.3,C102,Late,1.99,0.54,3.98,2,54,33,6,31.51,High,40
10/23/2024,S1099,Imran,Data Science,Low,Below Average,11:39.1,C104,Present,1.52,0.54,1.64,3,54,40,10,26.78,High,41
