date,student_id,Name,preferred_course,course_demand,predicted_performance,timestamp,course_id,attendance_status,gpa,attendance_rate,hours_studied_per_week,previous_failures,attendance_percentage,quizzes_completed,assignments_completed,lms_engagement_score,dropout_risk
10/20/2024,S556,Fatima,Business Analytics,Low,Below Average,22:32.9,C105,Absent,0.72,0.54,1.51,3,54,37,6,35.06,High
10/24/2024,S3492,Noor,AI,Low,Below Average,10:14.2,C104,Absent,3.14,0.81,8.71,1,81,43,16,72.84,Low
10/10/2024,S528,Zara,AI,Low,Below Average,23:51.3,C104,Present,0.74,0.59,1.17,4,59,37,6,36.8,High
10/17/2024,S3926,Zara,Web Development,High,Above Average,01:00.4,C103,Present,3.27,0.9,9.23,0,90,49,13,66.04,Low
10/22/2024,S2990,Mehwish,AI,Low,Average,03:22.3,C105,Late,3.83,0.94,11.81,0,94,47,18,89.81,Medium
10/21/2024,S071,Bilal,AI,Low,Below Average,15:08.4,C104,Present,0.54,0.46,1.85,2,46,32,9,27.67,High
10/12/2024,S1757,Ahmed,Data Science,Medium,Average,18:46.6,C104,Present,2.64,0.68,5.74,1,68,37,11,54.49,Medium
10/4/2024,S212,Fatima,Data Science,Low,Below Average,16:55.5,C101,Present,1.82,0.47,2.13,3,47,35,8,20.92,High
10/18/2024,S197,Bilal,AI,Low,Below Average,22:09.3,C103,Late,1.88,0.48,2.26,3,48,32,6,33.99,High
10/11/2024,S804,Laiba,Data Science,Low,Below Average,17:45.2,C101,Late,1.81,0.56,3.64,2,56,35,9,35.9,Low
10/22/2024,S3410,Iqra,Cybersecurity,High,Average,23:03.7,C103,Present,3.04,0.84,9.67,0,84,44,12,67.25,Low
10/7/2024,S3837,Laiba,Cybersecurity,High,Above Average,09:18.4,C102,Present,2.82,0.84,8.04,1,84,47,15,68.06,Low
10/18/2024,S1147,Usman,Web Development,Low,Below Average,00:57.4,C104,Present,1.84,0.59,2.99,2,59,38,7,20.89,High
10/3/2024,S1499,Noor,Business Analytics,Medium,Average,15:21.4,C104,Present,2.08,0.73,4.66,1,73,44,11,41.34,Medium
10/12/2024,S3859,Hassan,Cybersecurity,High,Below Average,12:50.1,C103,Present,3.0,0.83,7.66,0,83,43,16,63.77,Medium
10/21/2024,S3483,Imran,Business Analytics,Low,Below Average,09:07.1,C101,Present,3.12,0.77,9.28,0,77,44,15,68.83,Low
10/24/2024,S1186,Laiba,AI,Low,Below Average,04:32.9,C103,Present,0.89,0.6,3.25,2,60,30,9,37.45,Low
10/15/2024,S472,Hamza,Web Development,Low,Below Average,21:21.2,C101,Late,0.87,0.41,3.88,4,41,30,6,26.24,High
10/17/2024,S595,Saad,Data Science,Low,Below Average,15:05.2,C105,Present,0.65,0.47,3.2,4,47,35,8,27.91,Low
10/13/2024,S322,Danish,Data Science,Low,Below Average,23:42.5,C102,Present,1.07,0.47,2.86,4,47,36,7,25.3,High
10/24/2024,S1418,Danish,Data Science,Medium,Average,00:29.6,C103,Present,2.69,0.63,5.98,2,63,39,10,58.82,Medium
10/20/2024,S1675,Fatima,Cybersecurity,Medium,Average,03:14.3,C104,Late,2.2,0.71,6.14,1,71,38,12,51.39,Medium
10/18/2024,S3591,Imran,Data Science,High,Above Average,23:00.1,C102,Present,3.46,0.83,7.74,1,83,40,16,63.9,Medium
10/12/2024,S1704,Taha,AI,Medium,Average,17:17.5,C104,Present,2.09,0.62,4.97,2,62,39,14,58.68,Medium
10/10/2024,S2541,Aleena,Business Analytics,High,Excellent,09:12.3,C105,Present,3.73,0.95,15.71,0,95,47,17,89.66,Medium
10/3/2024,S206,Taha,Cybersecurity,Low,Below Average,09:45.3,C102,Present,1.25,0.52,2.3,2,52,32,5,35.47,Low
10/18/2024,S3888,Imran,Cybersecurity,Low,Average,04:39.6,C105,Absent,3.43,0.86,7.94,0,86,44,12,79.26,Low
10/21/2024,S3249,Hassan,AI,Low,Average,13:31.4,C104,Present,3.47,0.86,8.36,0,86,42,13,62.49,Low
10/17/2024,S2132,Noor,Business Analytics,Low,Average,12:36.5,C102,Present,3.73,0.96,14.73,0,96,48,19,88.79,Low
10/21/2024,S1256,Fatima,Business Analytics,Medium,Average,19:07.3,C101,Present,2.03,0.66,5.44,1,66,44,14,41.05,Medium
10/12/2024,S2300,Hamza,Web Development,High,Excellent,07:59.2,C102,Present,3.98,0.93,14.92,0,93,50,20,89.82,Low
10/3/2024,S1227,Bilal,Business Analytics,Medium,Average,00:58.3,C104,Absent,2.68,0.73,4.98,2,73,37,13,44.24,Medium
10/21/2024,S3919,Noor,AI,High,Above Average,23:47.2,C102,Present,3.42,0.89,6.76,1,89,46,14,77.65,Low
10/7/2024,S2465,Hassan,Data Science,High,Excellent,06:56.2,C101,Present,3.65,0.93,17.67,0,93,48,16,97.91,Low
10/10/2024,S2384,Mehwish,Cybersecurity,Low,Average,06:39.4,C103,Late,3.91,0.96,17.2,0,96,50,20,83.62,Low
10/9/2024,S150,Danish,Business Analytics,Low,Below Average,10:01.4,C103,Present,0.62,0.48,2.66,4,48,32,5,34.6,High
10/8/2024,S870,Taha,Web Development,Low,Below Average,19:16.5,C103,Late,1.82,0.44,1.21,2,44,31,7,31.23,High
10/1/2024,S1979,Ayaan,Cybersecurity,High,Below Average,06:11.4,C103,Late,3.8,0.92,14.3,0,92,50,20,92.05,Low
10/10/2024,S2457,Danish,Data Science,High,Average,16:18.2,C105,Present,3.72,0.92,17.75,0,92,49,18,98.37,Low
10/12/2024,S3866,Mariam,Business Analytics,Low,Average,06:36.2,C105,Present,3.09,0.88,9.5,0,88,41,15,63.6,Low
10/9/2024,S2213,Mehwish,AI,Low,Below Average,21:52.2,C103,Late,3.96,0.96,10.29,0,96,50,15,93.93,Low
10/1/2024,S1007,Laiba,Web Development,Low,Below Average,17:21.5,C102,Present,1.14,0.59,3.3,4,59,34,7,21.38,High
10/23/2024,S3048,Hassan,Data Science,High,Excellent,05:42.3,C105,Present,3.92,0.95,17.38,0,95,50,17,80.25,Low
10/4/2024,S706,Imran,Data Science,Low,Below Average,02:24.4,C105,Present,0.53,0.5,1.45,3,50,35,5,22.91,High
10/15/2024,S3144,Hassan,Cybersecurity,High,Excellent,19:14.4,C104,Present,3.57,0.9,16.54,0,90,47,20,92.16,Low
10/11/2024,S3597,Saad,AI,Low,Below Average,21:41.3,C102,Present,3.01,0.79,9.58,0,79,42,16,77.61,Low
10/22/2024,S1988,Bilal,Business Analytics,High,Below Average,21:54.4,C103,Present,3.95,0.96,19.09,0,96,50,18,85.86,Low
10/2/2024,S180,Mehwish,AI,Low,Below Average,10:04.2,C103,Late,1.54,0.54,1.42,4,54,36,10,29.79,High
10/11/2024,S110,Mariam,Data Science,Low,Below Average,05:09.5,C103,Present,1.9,0.45,2.18,3,45,36,8,29.36,High
10/18/2024,S3079,Laiba,Web Development,High,Average,11:35.4,C105,Late,3.71,0.97,10.66,0,97,45,17,92.04,Low
10/11/2024,S1056,Fatima,AI,Low,Below Average,16:22.2,C102,Present,1.98,0.48,3.47,2,48,31,10,31.14,High
10/11/2024,S3953,Saad,Data Science,High,Average,15:37.1,C102,Present,2.91,0.83,6.74,1,83,46,13,78.24,Low
10/10/2024,S315,Imran,AI,Low,Below Average,01:23.5,C101,Late,0.72,0.41,2.39,4,41,30,6,28.69,High
10/11/2024,S1823,Hira,Business Analytics,High,Excellent,04:46.1,C103,Present,3.99,0.99,16.06,0,99,46,19,81.99,Low
10/9/2024,S568,Danish,Business Analytics,Low,Below Average,10:01.4,C103,Present,1.69,0.41,2.77,2,41,33,9,30.84,High
10/9/2024,S880,Hira,Web Development,Low,Below Average,09:02.6,C104,Present,1.37,0.48,1.39,2,48,39,10,33.99,High
10/19/2024,S2231,Hassan,Business Analytics,High,Excellent,08:49.4,C101,Late,3.61,0.92,15.65,0,92,48,15,92.35,Low
10/2/2024,S1412,Iqra,Data Science,Medium,Average,08:05.4,C103,Present,2.56,0.7,5.58,1,70,36,12,54.22,Medium
10/3/2024,S3225,Hira,Web Development,High,Above Average,12:50.4,C104,Present,2.88,0.86,7.01,1,86,50,12,72.99,Medium
10/16/2024,S3937,Areeba,Web Development,High,Below Average,16:03.4,C105,Present,2.94,0.81,9.14,0,81,46,15,70.5,Low
10/22/2024,S3250,Danish,Data Science,Low,Below Average,18:56.8,C101,Present,3.27,0.83,9.44,1,83,40,15,64.5,Low
10/21/2024,S930,Fatima,Cybersecurity,Low,Below Average,20:24.6,C102,Present,0.66,0.45,3.18,4,45,34,6,31.73,High
10/15/2024,S2579,Hira,Cybersecurity,High,Average,13:49.0,C105,Late,3.68,0.96,16.16,0,96,48,20,80.32,Low
10/24/2024,S3380,Hassan,Business Analytics,High,Above Average,08:28.3,C101,Present,3.24,0.9,6.42,1,90,42,13,66.98,Low
10/23/2024,S2293,Hamza,Business Analytics,Low,Below Average,08:39.2,C101,Absent,3.52,0.94,13.04,0,94,46,16,91.94,Low
10/17/2024,S1503,Usman,Business Analytics,Medium,Average,07:01.3,C102,Present,2.75,0.65,6.24,2,65,42,10,57.49,Medium
10/11/2024,S3783,Saad,Data Science,High,Above Average,15:37.1,C102,Present,3.09,0.8,8.79,0,80,43,13,61.8,Low
10/15/2024,S606,Hassan,Data Science,Low,Below Average,03:35.3,C101,Present,0.81,0.53,1.28,2,53,33,8,38.76,High
10/13/2024,S1989,Fatima,Business Analytics,High,Excellent,11:12.4,C103,Late,3.98,0.94,14.18,0,94,50,16,88.74,Low
10/15/2024,S015,Saad,Data Science,Low,Below Average,16:35.3,C104,Present,1.86,0.53,2.28,2,53,30,5,26.47,Low
10/16/2024,S1262,Bilal,AI,Medium,Average,19:53.4,C104,Present,2.43,0.65,6.94,1,65,42,10,47.94,Medium
10/4/2024,S3239,Ahmed,Cybersecurity,High,Above Average,20:49.8,C101,Present,3.2,0.84,8.44,1,84,47,15,64.95,Low
10/4/2024,S3319,Hamza,Web Development,High,Above Average,02:04.3,C101,Present,3.13,0.82,6.26,1,82,46,14,60.43,Medium
10/16/2024,S009,Aleena,AI,Low,Below Average,05:53.6,C105,Present,0.87,0.56,3.37,2,56,38,10,21.41,Low
10/15/2024,S890,Imran,Cybersecurity,Low,Below Average,13:13.4,C101,Absent,1.48,0.43,3.09,3,43,36,9,33.63,High
10/20/2024,S3149,Laiba,Cybersecurity,High,Excellent,16:54.2,C105,Absent,3.64,0.98,10.68,0,98,49,16,94.75,Low
10/14/2024,S3552,Hassan,Data Science,Low,Average,23:56.2,C103,Late,2.98,0.84,9.72,0,84,43,15,69.25,Low
10/26/2024,S1445,Mariam,Cybersecurity,Medium,Average,21:59.8,C105,Present,2.56,0.74,4.99,2,74,39,11,44.24,Medium
10/22/2024,S394,Mehwish,Data Science,Low,Below Average,03:54.4,C101,Present,1.18,0.55,2.55,4,55,39,6,36.08,Low
10/12/2024,S1583,Hassan,Business Analytics,Medium,Average,18:12.3,C101,Present,2.37,0.71,4.72,1,71,42,13,48.3,Medium
10/25/2024,S2859,Iqra,Business Analytics,High,Excellent,14:25.4,C101,Late,3.63,0.97,12.73,0,97,50,16,93.74,Low
10/8/2024,S539,Taha,Web Development,Low,Below Average,19:16.5,C103,Late,1.71,0.57,1.14,3,57,32,9,32.82,High
10/15/2024,S1488,Usman,Web Development,Medium,Average,15:53.5,C103,Present,2.44,0.64,4.2,1,64,43,14,50.64,Low
10/4/2024,S808,Aleena,Business Analytics,Low,Below Average,02:53.4,C103,Present,0.99,0.47,3.03,4,47,30,9,25.61,High
10/12/2024,S3415,Taha,Data Science,High,Above Average,09:18.4,C101,Present,3.07,0.77,8.71,1,77,49,15,70.45,Low
10/19/2024,S799,Mariam,Web Development,Low,Below Average,13:59.2,C104,Late,1.97,0.5,1.83,4,50,35,10,35.24,High
10/25/2024,S3540,Hamza,Cybersecurity,High,Below Average,09:06.7,C102,Late,3.15,0.77,6.62,0,77,46,14,78.1,Low
10/23/2024,S1816,Hassan,Data Science,High,Excellent,05:42.3,C105,Present,3.91,0.91,16.95,0,91,50,19,86.23,Low
